"Age","Year","Value","Mode","Data","Source","Model"
9,1991,0.818885606600795,"Private car","Annual survival rate","LTA",NA
10,1991,0.521369657585604,"Private car","Annual survival rate","LTA",NA
11,1991,0.964142118651022,"Private car","Annual survival rate","LTA",NA
12,1991,0.957434458740447,"Private car","Annual survival rate","LTA",NA
13,1991,0.960769111490154,"Private car","Annual survival rate","LTA",NA
14,1991,0.95748031496063,"Private car","Annual survival rate","LTA",NA
1,1992,1,"Private car","Annual survival rate","LTA",NA
2,1992,1,"Private car","Annual survival rate","LTA",NA
3,1992,1,"Private car","Annual survival rate","LTA",NA
4,1992,1,"Private car","Annual survival rate","LTA",NA
5,1992,1,"Private car","Annual survival rate","LTA",NA
6,1992,1,"Private car","Annual survival rate","LTA",NA
7,1992,1,"Private car","Annual survival rate","LTA",NA
8,1992,0.99613794356854,"Private car","Annual survival rate","LTA",NA
9,1992,0.830970666847109,"Private car","Annual survival rate","LTA",NA
10,1992,0.483973960276983,"Private car","Annual survival rate","LTA",NA
11,1992,0.840004793863854,"Private car","Annual survival rate","LTA",NA
12,1992,0.898468085106383,"Private car","Annual survival rate","LTA",NA
13,1992,0.882287561887441,"Private car","Annual survival rate","LTA",NA
14,1992,0.879761136216914,"Private car","Annual survival rate","LTA",NA
1,1993,0.999966163632672,"Private car","Annual survival rate","LTA",NA
2,1993,1,"Private car","Annual survival rate","LTA",NA
3,1993,1,"Private car","Annual survival rate","LTA",NA
4,1993,0.999521275097857,"Private car","Annual survival rate","LTA",NA
5,1993,0.99902064185626,"Private car","Annual survival rate","LTA",NA
6,1993,0.99494242141301,"Private car","Annual survival rate","LTA",NA
7,1993,0.985826951651617,"Private car","Annual survival rate","LTA",NA
8,1993,0.994174470909225,"Private car","Annual survival rate","LTA",NA
9,1993,0.802271483305966,"Private car","Annual survival rate","LTA",NA
10,1993,0.344733520622125,"Private car","Annual survival rate","LTA",NA
11,1993,0.997429746401645,"Private car","Annual survival rate","LTA",NA
12,1993,0.997717220716222,"Private car","Annual survival rate","LTA",NA
13,1993,0.997631903002747,"Private car","Annual survival rate","LTA",NA
14,1993,0.998167659184608,"Private car","Annual survival rate","LTA",NA
1,1994,0.999873804295702,"Private car","Annual survival rate","LTA",NA
2,1994,0.99983081243867,"Private car","Annual survival rate","LTA",NA
3,1994,0.999756496330052,"Private car","Annual survival rate","LTA",NA
4,1994,0.999436090225564,"Private car","Annual survival rate","LTA",NA
5,1994,0.999211134276216,"Private car","Annual survival rate","LTA",NA
6,1994,0.995362340698288,"Private car","Annual survival rate","LTA",NA
7,1994,0.973019472902166,"Private car","Annual survival rate","LTA",NA
8,1994,0.995826086956522,"Private car","Annual survival rate","LTA",NA
9,1994,0.792983236908471,"Private car","Annual survival rate","LTA",NA
10,1994,0.286940701574848,"Private car","Annual survival rate","LTA",NA
11,1994,0.996693043580961,"Private car","Annual survival rate","LTA",NA
12,1994,0.997079539598007,"Private car","Annual survival rate","LTA",NA
13,1994,0.994708994708995,"Private car","Annual survival rate","LTA",NA
14,1994,0.997721230535511,"Private car","Annual survival rate","LTA",NA
1,1995,0.997973211138527,"Private car","Annual survival rate","LTA",NA
2,1995,0.99936894184168,"Private car","Annual survival rate","LTA",NA
3,1995,0.999424664951943,"Private car","Annual survival rate","LTA",NA
4,1995,0.99937369519833,"Private car","Annual survival rate","LTA",NA
5,1995,0.999122312080747,"Private car","Annual survival rate","LTA",NA
6,1995,0.995798793210399,"Private car","Annual survival rate","LTA",NA
7,1995,0.971135270275389,"Private car","Annual survival rate","LTA",NA
8,1995,0.995981353480148,"Private car","Annual survival rate","LTA",NA
9,1995,0.855163581324951,"Private car","Annual survival rate","LTA",NA
10,1995,0.214105322233654,"Private car","Annual survival rate","LTA",NA
11,1995,0.994055874777095,"Private car","Annual survival rate","LTA",NA
12,1995,0.992416163052494,"Private car","Annual survival rate","LTA",NA
13,1995,0.994572708476912,"Private car","Annual survival rate","LTA",NA
14,1995,0.993387004025302,"Private car","Annual survival rate","LTA",NA
1,1996,0.999113176967065,"Private car","Annual survival rate","LTA",NA
2,1996,0.996585724797645,"Private car","Annual survival rate","LTA",NA
3,1996,0.999166477229673,"Private car","Annual survival rate","LTA",NA
4,1996,0.997968236768142,"Private car","Annual survival rate","LTA",NA
5,1996,0.999059954042198,"Private car","Annual survival rate","LTA",NA
6,1996,0.995607705339775,"Private car","Annual survival rate","LTA",NA
7,1996,0.974941246425234,"Private car","Annual survival rate","LTA",NA
8,1996,0.995007216132933,"Private car","Annual survival rate","LTA",NA
9,1996,0.891623628147192,"Private car","Annual survival rate","LTA",NA
10,1996,0.3071477195371,"Private car","Annual survival rate","LTA",NA
11,1996,0.994320664045435,"Private car","Annual survival rate","LTA",NA
12,1996,0.991827785529201,"Private car","Annual survival rate","LTA",NA
13,1996,0.989014925373134,"Private car","Annual survival rate","LTA",NA
14,1996,0.992637505413599,"Private car","Annual survival rate","LTA",NA
1,1997,0.999617856522494,"Private car","Annual survival rate","LTA",NA
2,1997,0.99761263467189,"Private car","Annual survival rate","LTA",NA
3,1997,0.994772438642606,"Private car","Annual survival rate","LTA",NA
4,1997,0.998988826533192,"Private car","Annual survival rate","LTA",NA
5,1997,0.997251535407689,"Private car","Annual survival rate","LTA",NA
6,1997,0.99749085206482,"Private car","Annual survival rate","LTA",NA
7,1997,0.980336547551522,"Private car","Annual survival rate","LTA",NA
8,1997,0.993668680297398,"Private car","Annual survival rate","LTA",NA
9,1997,0.911560625661531,"Private car","Annual survival rate","LTA",NA
10,1997,0.212055389628021,"Private car","Annual survival rate","LTA",NA
11,1997,0.995124113475177,"Private car","Annual survival rate","LTA",NA
12,1997,0.994288224956063,"Private car","Annual survival rate","LTA",NA
13,1997,0.989549839228296,"Private car","Annual survival rate","LTA",NA
14,1997,0.973077387420017,"Private car","Annual survival rate","LTA",NA
1,1998,0.996488988190233,"Private car","Annual survival rate","LTA",NA
2,1998,0.996837422673247,"Private car","Annual survival rate","LTA",NA
3,1998,0.981284899061177,"Private car","Annual survival rate","LTA",NA
4,1998,0.967133780654355,"Private car","Annual survival rate","LTA",NA
5,1998,0.994331696948226,"Private car","Annual survival rate","LTA",NA
6,1998,0.990132698196665,"Private car","Annual survival rate","LTA",NA
7,1998,0.978339097928239,"Private car","Annual survival rate","LTA",NA
8,1998,0.989103182256509,"Private car","Annual survival rate","LTA",NA
9,1998,0.876132577307535,"Private car","Annual survival rate","LTA",NA
10,1998,0.113447727174988,"Private car","Annual survival rate","LTA",NA
11,1998,0.991890738369612,"Private car","Annual survival rate","LTA",NA
12,1998,0.994209354120267,"Private car","Annual survival rate","LTA",NA
13,1998,0.980114891736633,"Private car","Annual survival rate","LTA",NA
14,1998,0.941714053614947,"Private car","Annual survival rate","LTA",NA
1,1999,0.999462327048534,"Private car","Annual survival rate","LTA",NA
2,1999,0.994714926329276,"Private car","Annual survival rate","LTA",NA
3,1999,0.99602552034306,"Private car","Annual survival rate","LTA",NA
4,1999,0.973486743371686,"Private car","Annual survival rate","LTA",NA
5,1999,0.952601688411358,"Private car","Annual survival rate","LTA",NA
6,1999,0.992212551534585,"Private car","Annual survival rate","LTA",NA
7,1999,0.981786941580756,"Private car","Annual survival rate","LTA",NA
8,1999,0.992607934864122,"Private car","Annual survival rate","LTA",NA
9,1999,0.874654707354327,"Private car","Annual survival rate","LTA",NA
10,1999,0.288664264745129,"Private car","Annual survival rate","LTA",NA
11,1999,1,"Private car","Annual survival rate","LTA",NA
12,1999,0.992685025817556,"Private car","Annual survival rate","LTA",NA
13,1999,0.991487455197133,"Private car","Annual survival rate","LTA",NA
14,1999,0.945446348061317,"Private car","Annual survival rate","LTA",NA
1,2000,0.99914227790196,"Private car","Annual survival rate","LTA",NA
2,2000,0.999031668041459,"Private car","Annual survival rate","LTA",NA
3,2000,0.972468201577846,"Private car","Annual survival rate","LTA",NA
4,2000,0.987468934859463,"Private car","Annual survival rate","LTA",NA
5,2000,0.956770298047276,"Private car","Annual survival rate","LTA",NA
6,2000,0.952047952047952,"Private car","Annual survival rate","LTA",NA
7,2000,0.979429568072227,"Private car","Annual survival rate","LTA",NA
8,2000,0.981099054952748,"Private car","Annual survival rate","LTA",NA
9,2000,0.920564109943877,"Private car","Annual survival rate","LTA",NA
10,2000,0.311287805603032,"Private car","Annual survival rate","LTA",NA
11,2000,1,"Private car","Annual survival rate","LTA",NA
12,2000,0.996217851739788,"Private car","Annual survival rate","LTA",NA
13,2000,0.991330732553099,"Private car","Annual survival rate","LTA",NA
14,2000,0.971983732489833,"Private car","Annual survival rate","LTA",NA
1,2001,0.998330378504914,"Private car","Annual survival rate","LTA",NA
2,2001,0.993990791082438,"Private car","Annual survival rate","LTA",NA
3,2001,0.991312464101091,"Private car","Annual survival rate","LTA",NA
4,2001,0.803807947019868,"Private car","Annual survival rate","LTA",NA
5,2001,0.891744355038815,"Private car","Annual survival rate","LTA",NA
6,2001,0.858475998657268,"Private car","Annual survival rate","LTA",NA
7,2001,0.807060894289679,"Private car","Annual survival rate","LTA",NA
8,2001,0.893049808830461,"Private car","Annual survival rate","LTA",NA
9,2001,0.866821262932572,"Private car","Annual survival rate","LTA",NA
10,2001,0.565890261059872,"Private car","Annual survival rate","LTA",NA
11,2001,0.98328956791597,"Private car","Annual survival rate","LTA",NA
12,2001,0.982247838616715,"Private car","Annual survival rate","LTA",NA
13,2001,0.970387243735763,"Private car","Annual survival rate","LTA",NA
14,2001,0.933537385220813,"Private car","Annual survival rate","LTA",NA
1,2002,0.998987100426014,"Private car","Annual survival rate","LTA",NA
2,2002,0.984655172413793,"Private car","Annual survival rate","LTA",NA
3,2002,0.961711593823606,"Private car","Annual survival rate","LTA",NA
4,2002,0.96758890417904,"Private car","Annual survival rate","LTA",NA
5,2002,0.685118434603502,"Private car","Annual survival rate","LTA",NA
6,2002,0.807290217434511,"Private car","Annual survival rate","LTA",NA
7,2002,0.708610307343396,"Private car","Annual survival rate","LTA",NA
8,2002,0.654615610451705,"Private car","Annual survival rate","LTA",NA
9,2002,0.631546536860008,"Private car","Annual survival rate","LTA",NA
10,2002,0.544182409350949,"Private car","Annual survival rate","LTA",NA
11,2002,0.995718232044199,"Private car","Annual survival rate","LTA",NA
12,2002,0.960548676863316,"Private car","Annual survival rate","LTA",NA
13,2002,0.965849078746626,"Private car","Annual survival rate","LTA",NA
14,2002,0.943270735524257,"Private car","Annual survival rate","LTA",NA
1,2003,0.99828394375149,"Private car","Annual survival rate","LTA",NA
2,2003,0.987594310082605,"Private car","Annual survival rate","LTA",NA
3,2003,0.829241814043075,"Private car","Annual survival rate","LTA",NA
4,2003,0.741557133915694,"Private car","Annual survival rate","LTA",NA
5,2003,0.837980463340694,"Private car","Annual survival rate","LTA",NA
6,2003,0.625854941751221,"Private car","Annual survival rate","LTA",NA
7,2003,0.63075483775666,"Private car","Annual survival rate","LTA",NA
8,2003,0.58188941617923,"Private car","Annual survival rate","LTA",NA
9,2003,0.432278318810866,"Private car","Annual survival rate","LTA",NA
10,2003,0.195338255095882,"Private car","Annual survival rate","LTA",NA
11,2003,0.995613371653305,"Private car","Annual survival rate","LTA",NA
12,2003,0.987376889998613,"Private car","Annual survival rate","LTA",NA
13,2003,0.843927713888538,"Private car","Annual survival rate","LTA",NA
14,2003,0.830376670716889,"Private car","Annual survival rate","LTA",NA
1,2004,0.999015311899956,"Private car","Annual survival rate","LTA",NA
2,2004,0.959603355245356,"Private car","Annual survival rate","LTA",NA
3,2004,0.851133858743244,"Private car","Annual survival rate","LTA",NA
4,2004,0.588284978250771,"Private car","Annual survival rate","LTA",NA
5,2004,0.47845871559633,"Private car","Annual survival rate","LTA",NA
6,2004,0.682626172398392,"Private car","Annual survival rate","LTA",NA
7,2004,0.517713462231296,"Private car","Annual survival rate","LTA",NA
8,2004,0.544106167056987,"Private car","Annual survival rate","LTA",NA
9,2004,0.430346135609294,"Private car","Annual survival rate","LTA",NA
10,2004,0.120201571068623,"Private car","Annual survival rate","LTA",NA
11,2004,0.990016638935108,"Private car","Annual survival rate","LTA",NA
12,2004,0.985946520814342,"Private car","Annual survival rate","LTA",NA
13,2004,0.947597639786457,"Private car","Annual survival rate","LTA",NA
14,2004,0.658131176999102,"Private car","Annual survival rate","LTA",NA
1,2005,0.998427640426192,"Private car","Annual survival rate","LTA","min"
2,2005,0.970307032674585,"Private car","Annual survival rate","LTA","min"
3,2005,0.771218630264227,"Private car","Annual survival rate","LTA","min"
4,2005,0.610139425976514,"Private car","Annual survival rate","LTA","min"
5,2005,0.379109834888729,"Private car","Annual survival rate","LTA","min"
6,2005,0.509587360024544,"Private car","Annual survival rate","LTA","min"
7,2005,0.553650876733839,"Private car","Annual survival rate","LTA","min"
8,2005,0.529807469264672,"Private car","Annual survival rate","LTA","min"
9,2005,0.466284074605452,"Private car","Annual survival rate","LTA","min"
10,2005,0.141912736888497,"Private car","Annual survival rate","LTA","min"
11,2005,0.970406905055487,"Private car","Annual survival rate","LTA","min"
12,2005,0.961104441776711,"Private car","Annual survival rate","LTA","min"
13,2005,0.95777794899453,"Private car","Annual survival rate","LTA","min"
14,2005,0.876352853965901,"Private car","Annual survival rate","LTA","min"
1,2006,0.999175559932213,"Private car","Annual survival rate","LTA",NA
2,2006,0.966037423071344,"Private car","Annual survival rate","LTA",NA
3,2006,0.801533890342078,"Private car","Annual survival rate","LTA",NA
4,2006,0.560392291810048,"Private car","Annual survival rate","LTA",NA
5,2006,0.455140132573555,"Private car","Annual survival rate","LTA",NA
6,2006,0.551316038629048,"Private car","Annual survival rate","LTA",NA
7,2006,0.511438892233594,"Private car","Annual survival rate","LTA",NA
8,2006,0.526589458756795,"Private car","Annual survival rate","LTA",NA
9,2006,0.514010507880911,"Private car","Annual survival rate","LTA",NA
10,2006,0.348,"Private car","Annual survival rate","LTA",NA
11,2006,0.984472049689441,"Private car","Annual survival rate","LTA",NA
12,2006,0.947903430749682,"Private car","Annual survival rate","LTA",NA
13,2006,0.90357232075943,"Private car","Annual survival rate","LTA",NA
14,2006,0.882229909098222,"Private car","Annual survival rate","LTA",NA
1,2007,0.999271892479934,"Private car","Annual survival rate","LTA",NA
2,2007,0.995700206280082,"Private car","Annual survival rate","LTA",NA
3,2007,0.872758472758473,"Private car","Annual survival rate","LTA",NA
4,2007,0.666450161586718,"Private car","Annual survival rate","LTA",NA
5,2007,0.486567393306724,"Private car","Annual survival rate","LTA",NA
6,2007,0.677547109549665,"Private car","Annual survival rate","LTA",NA
7,2007,0.624763867422291,"Private car","Annual survival rate","LTA",NA
8,2007,0.595644496762802,"Private car","Annual survival rate","LTA",NA
9,2007,0.513464991023339,"Private car","Annual survival rate","LTA",NA
10,2007,0.427597955706985,"Private car","Annual survival rate","LTA",NA
11,2007,0.994694960212202,"Private car","Annual survival rate","LTA",NA
12,2007,0.979495268138801,"Private car","Annual survival rate","LTA",NA
13,2007,0.935656836461126,"Private car","Annual survival rate","LTA",NA
14,2007,0.891069947470279,"Private car","Annual survival rate","LTA",NA
1,2008,0.999417851307957,"Private car","Annual survival rate","LTA",NA
2,2008,0.998414140721437,"Private car","Annual survival rate","LTA",NA
3,2008,0.943962580336261,"Private car","Annual survival rate","LTA",NA
4,2008,0.742749705072749,"Private car","Annual survival rate","LTA",NA
5,2008,0.570039696688773,"Private car","Annual survival rate","LTA",NA
6,2008,0.675974128411421,"Private car","Annual survival rate","LTA",NA
7,2008,0.722918827189592,"Private car","Annual survival rate","LTA",NA
8,2008,0.680043980208906,"Private car","Annual survival rate","LTA",NA
9,2008,0.558794466403162,"Private car","Annual survival rate","LTA",NA
10,2008,0.259615384615385,"Private car","Annual survival rate","LTA",NA
11,2008,0.99203187250996,"Private car","Annual survival rate","LTA",NA
12,2008,0.989333333333333,"Private car","Annual survival rate","LTA",NA
13,2008,0.972624798711755,"Private car","Annual survival rate","LTA",NA
14,2008,0.929799426934097,"Private car","Annual survival rate","LTA",NA
1,2009,0.999814327711589,"Private car","Annual survival rate","LTA",NA
2,2009,0.998506200676437,"Private car","Annual survival rate","LTA",NA
3,2009,0.996325265516738,"Private car","Annual survival rate","LTA",NA
4,2009,0.913090128755365,"Private car","Annual survival rate","LTA",NA
5,2009,0.728003706032229,"Private car","Annual survival rate","LTA",NA
6,2009,0.730203077436304,"Private car","Annual survival rate","LTA",NA
7,2009,0.692648774795799,"Private car","Annual survival rate","LTA",NA
8,2009,0.712702138758477,"Private car","Annual survival rate","LTA",NA
9,2009,0.636216653193209,"Private car","Annual survival rate","LTA",NA
10,2009,0.446507515473033,"Private car","Annual survival rate","LTA",NA
11,2009,0.986531986531986,"Private car","Annual survival rate","LTA",NA
12,2009,0.979919678714859,"Private car","Annual survival rate","LTA",NA
13,2009,0.984725965858041,"Private car","Annual survival rate","LTA",NA
14,2009,0.955298013245033,"Private car","Annual survival rate","LTA",NA
1,2010,1,"Private car","Annual survival rate","LTA",NA
2,2010,0.999587318291085,"Private car","Annual survival rate","LTA",NA
3,2010,0.996575116907067,"Private car","Annual survival rate","LTA",NA
4,2010,0.996035952190136,"Private car","Annual survival rate","LTA",NA
5,2010,0.944738809956201,"Private car","Annual survival rate","LTA",NA
6,2010,0.853688468705968,"Private car","Annual survival rate","LTA",NA
7,2010,0.800296956198961,"Private car","Annual survival rate","LTA",NA
8,2010,0.793969002695418,"Private car","Annual survival rate","LTA",NA
9,2010,0.693504117108875,"Private car","Annual survival rate","LTA",NA
10,2010,0.354510800508259,"Private car","Annual survival rate","LTA",NA
11,2010,0.992079207920792,"Private car","Annual survival rate","LTA",NA
12,2010,0.991467576791809,"Private car","Annual survival rate","LTA",NA
13,2010,0.973360655737705,"Private car","Annual survival rate","LTA",NA
14,2010,0.987226277372263,"Private car","Annual survival rate","LTA",NA
1,2011,1,"Private car","Annual survival rate","LTA",NA
2,2011,1,"Private car","Annual survival rate","LTA",NA
3,2011,0.999896786978645,"Private car","Annual survival rate","LTA",NA
4,2011,0.998734858426881,"Private car","Annual survival rate","LTA",NA
5,2011,0.997854355744357,"Private car","Annual survival rate","LTA",NA
6,2011,0.990015491253661,"Private car","Annual survival rate","LTA",NA
7,2011,0.909860504738579,"Private car","Annual survival rate","LTA",NA
8,2011,0.835592978450121,"Private car","Annual survival rate","LTA",NA
9,2011,0.716316571186081,"Private car","Annual survival rate","LTA",NA
10,2011,0.155145118733509,"Private car","Annual survival rate","LTA",NA
11,2011,1,"Private car","Annual survival rate","LTA",NA
12,2011,1,"Private car","Annual survival rate","LTA",NA
13,2011,0.989672977624785,"Private car","Annual survival rate","LTA",NA
14,2011,0.976842105263158,"Private car","Annual survival rate","LTA",NA
1,2012,1,"Private car","Annual survival rate","LTA",NA
2,2012,1,"Private car","Annual survival rate","LTA",NA
3,2012,1,"Private car","Annual survival rate","LTA",NA
4,2012,0.999432269785398,"Private car","Annual survival rate","LTA",NA
5,2012,0.99826059007591,"Private car","Annual survival rate","LTA",NA
6,2012,0.997580959812719,"Private car","Annual survival rate","LTA",NA
7,2012,0.985757361171391,"Private car","Annual survival rate","LTA",NA
8,2012,0.877260225876295,"Private car","Annual survival rate","LTA",NA
9,2012,0.690777113578138,"Private car","Annual survival rate","LTA",NA
10,2012,0.109004739336493,"Private car","Annual survival rate","LTA",NA
11,2012,0.994897959183674,"Private car","Annual survival rate","LTA",NA
12,2012,1,"Private car","Annual survival rate","LTA",NA
13,2012,0.998003992015968,"Private car","Annual survival rate","LTA",NA
14,2012,0.972173913043478,"Private car","Annual survival rate","LTA",NA
1,2013,1,"Private car","Annual survival rate","LTA",NA
2,2013,0.999567707770453,"Private car","Annual survival rate","LTA",NA
3,2013,0.999541494727189,"Private car","Annual survival rate","LTA",NA
4,2013,0.99964969640355,"Private car","Annual survival rate","LTA",NA
5,2013,0.99917374150503,"Private car","Annual survival rate","LTA",NA
6,2013,0.998143921817441,"Private car","Annual survival rate","LTA",NA
7,2013,0.996601654846336,"Private car","Annual survival rate","LTA",NA
8,2013,0.975726186751944,"Private car","Annual survival rate","LTA",NA
9,2013,0.768402094520228,"Private car","Annual survival rate","LTA",NA
10,2013,0.0776362962047225,"Private car","Annual survival rate","LTA",NA
11,2013,0.983695652173913,"Private car","Annual survival rate","LTA",NA
12,2013,0.994871794871795,"Private car","Annual survival rate","LTA",NA
13,2013,0.996415770609319,"Private car","Annual survival rate","LTA",NA
14,2013,0.986,"Private car","Annual survival rate","LTA",NA
1,2014,0.999590014577259,"Private car","Annual survival rate","LTA","def"
2,2014,0.999597054837174,"Private car","Annual survival rate","LTA","def"
3,2014,0.999279201355101,"Private car","Annual survival rate","LTA","def"
4,2014,0.999565427329792,"Private car","Annual survival rate","LTA","def"
5,2014,0.999591169255928,"Private car","Annual survival rate","LTA","def"
6,2014,0.999297099501768,"Private car","Annual survival rate","LTA","def"
7,2014,0.998225856949043,"Private car","Annual survival rate","LTA","def"
8,2014,0.993869096934549,"Private car","Annual survival rate","LTA","def"
9,2014,0.875932171187004,"Private car","Annual survival rate","LTA","def"
10,2014,0.0798645774556187,"Private car","Annual survival rate","LTA","def"
11,2014,0.977707006369427,"Private car","Annual survival rate","LTA","def"
12,2014,0.986187845303867,"Private car","Annual survival rate","LTA","def"
13,2014,0.974226804123711,"Private car","Annual survival rate","LTA","def"
14,2014,0.95863309352518,"Private car","Annual survival rate","LTA","def"
1,2015,0.999754790345746,"Private car","Annual survival rate","LTA",NA
2,2015,0.999498701180331,"Private car","Annual survival rate","LTA",NA
3,2015,0.999230430958663,"Private car","Annual survival rate","LTA",NA
4,2015,0.999062285858549,"Private car","Annual survival rate","LTA",NA
5,2015,0.999275397323801,"Private car","Annual survival rate","LTA",NA
6,2015,0.999664037394099,"Private car","Annual survival rate","LTA",NA
7,2015,0.999255228913669,"Private car","Annual survival rate","LTA",NA
8,2015,0.997405337591241,"Private car","Annual survival rate","LTA",NA
9,2015,0.943551359225005,"Private car","Annual survival rate","LTA",NA
10,2015,0.12961607288108,"Private car","Annual survival rate","LTA",NA
11,2015,0.9875,"Private car","Annual survival rate","LTA",NA
12,2015,0.964169381107492,"Private car","Annual survival rate","LTA",NA
13,2015,0.966386554621849,"Private car","Annual survival rate","LTA",NA
14,2015,0.927689594356261,"Private car","Annual survival rate","LTA",NA
1,2016,0.999703765661212,"Private car","Annual survival rate","LTA","max"
2,2016,0.999404344779257,"Private car","Annual survival rate","LTA","max"
3,2016,0.992111982491337,"Private car","Annual survival rate","LTA","max"
4,2016,0.995489052701067,"Private car","Annual survival rate","LTA","max"
5,2016,0.997617414533771,"Private car","Annual survival rate","LTA","max"
6,2016,0.998694769409262,"Private car","Annual survival rate","LTA","max"
7,2016,0.998904101582477,"Private car","Annual survival rate","LTA","max"
8,2016,0.996490755884971,"Private car","Annual survival rate","LTA","max"
9,2016,0.929990566307424,"Private car","Annual survival rate","LTA","max"
10,2016,0.268020719991816,"Private car","Annual survival rate","LTA","max"
11,2016,0.980859742704738,"Private car","Annual survival rate","LTA","max"
12,2016,0.962575674188222,"Private car","Annual survival rate","LTA","max"
13,2016,0.935810810810811,"Private car","Annual survival rate","LTA","max"
14,2016,0.884057971014493,"Private car","Annual survival rate","LTA","max"
1,2017,0.999827896783965,"Private car","Annual survival rate","LTA",NA
2,2017,0.999389925047934,"Private car","Annual survival rate","LTA",NA
3,2017,0.995407215229815,"Private car","Annual survival rate","LTA",NA
4,2017,0.977480582747369,"Private car","Annual survival rate","LTA",NA
5,2017,0.978153551429414,"Private car","Annual survival rate","LTA",NA
6,2017,0.991930522887642,"Private car","Annual survival rate","LTA",NA
7,2017,0.995740355293093,"Private car","Annual survival rate","LTA",NA
8,2017,0.995816389222082,"Private car","Annual survival rate","LTA",NA
9,2017,0.920218567881741,"Private car","Annual survival rate","LTA",NA
