Country,Location code,ISO3,Subregion,CEDS_eq
Russian Federation,643,RUS,Eastern Europe,
Rwanda,646,RWA,Eastern Africa,
Saint Barthélemy,652,BLM,Caribbean,
Saint Helena,654,SHN,Western Africa,
Saint Kitts and Nevis,659,KNA,Caribbean,
Anguilla,660,AIA,Caribbean,
Saint Lucia,662,LCA,Caribbean,
Saint Martin (French part),663,MAF,Caribbean,
Saint Pierre and Miquelon,666,SPM,,
Saint Vincent and the Grenadines,670,VCT,Caribbean,
San Marino,674,SMR,Southern Europe,
Sao Tome and Principe,678,STP,Middle Africa,
Saudi Arabia,682,SAU,Western Asia,
Senegal,686,SEN,Western Africa,
Serbia,688,SRB,Southern Europe,
Seychelles,690,SYC,Eastern Africa,
Sierra Leone,694,SLE,Western Africa,
Singapore,702,SGP,South-Eastern Asia,
Slovakia,703,SVK,Eastern Europe,
Viet Nam,704,VNM,South-Eastern Asia,
Slovenia,705,SVN,Southern Europe,
Somalia,706,SOM,Eastern Africa,
South Africa,710,ZAF,Southern Africa,
Zimbabwe,716,ZWE,Eastern Africa,
Spain,724,ESP,Southern Europe,
South Sudan,728,SSD,Eastern Africa,
Sudan,729,SDN,Northern Africa,
Western Sahara,732,ESH,Northern Africa,
Suriname,740,SUR,South America,
Eswatini,748,SWZ,Southern Africa,
Sweden,752,SWE,Northern Europe,
Switzerland,756,CHE,Western Europe,
Syrian Arab Republic,760,SYR,Western Asia,
Tajikistan,762,TJK,Central Asia,
Thailand,764,THA,South-Eastern Asia,
Togo,768,TGO,Western Africa,
Tokelau,772,TKL,Polynesia,
Tonga,776,TON,Polynesia,
Trinidad and Tobago,780,TTO,Caribbean,
United Arab Emirates,784,ARE,Western Asia,
Tunisia,788,TUN,Northern Africa,
Turkey,792,TUR,Western Asia,
Turkmenistan,795,TKM,Central Asia,
Turks and Caicos Islands,796,TCA,Caribbean,
Tuvalu,798,TUV,Polynesia,
Uganda,800,UGA,Eastern Africa,
Ukraine,804,UKR,Eastern Europe,
North Macedonia,807,MKD,Southern Europe,
Egypt,818,EGY,Northern Africa,
United Kingdom,826,GBR,Northern Europe,
Channel Islands,830,CHI,Northern Europe,
Isle of Man,833,IMN,Northern Europe,
United Republic of Tanzania,834,TZA,Eastern Africa,
United States of America,840,USA,,
United States Virgin Islands,850,VIR,Caribbean,
Burkina Faso,854,BFA,Western Africa,
Uruguay,858,URY,South America,
Uzbekistan,860,UZB,Central Asia,
Venezuela (Bolivarian Republic of),862,VEN,South America,
Wallis and Futuna Islands,876,WLF,Polynesia,
Samoa,882,WSM,Polynesia,
Yemen,887,YEM,Western Asia,
Zambia,894,ZMB,Eastern Africa,
